etd_file_id,text
1,"['3', 'SOME ASPECTS OF RADIATION INDUCED NUCLEATION OF WATER', 'by', 'Chih-Ping Tso', 'Submitted to the Department of Nuclear Engineering on August 11,', '1970 in partial fulfillment of the requirements for the degree of', 'Master of Science.', 'ABSTRACT', 'Experimental data for the determination of superheats of separately,', 'fission fragments and fast neutrons in water were taken with an experimen-', '(2)', 'tally modified set up of Bell: Attempts to correlate both data from', 'present work and from Bell with theory led to apparent inadequacies with', 'the theory. The theory is based on an ""Energy Balance Method"" developed', 'by Bell. This method was also used to compute threshold superheat for', '(5)', 'benzene, for later comparison with data from another investigator', 'when this reference becomes available.', 'Application of this Energy Balance Method to predict fission neutrons', 'induced nucleation and alpha particles induced nucleation (alpha particles', 'from (n,x) reaction on Boron) at Pressurised Water Reactor conditions', 'indicated that radiation induced nucleation for monoenergetic neutrons', 'and alphas present in reactor may be effective in causing initiation of', 'nucleate boiling. However, detailed consideration of all neutron energies', 'present (spectrum) was not accomplished to arrived at a definite conclu-', 'sion for this reactor case.', 'Thesis Supervisor', 'Neil E. Todreas', 'Title', 'Assistant Professor']"
2,"['2', 'PROCEDURES AS A REPRESENTATION FOR DATA', 'IN A COMPUTER PROGRAM FOR UNDERSTAND : NG', 'NATURAL LANGUAGE', 'by', 'Terry Winograd', 'Submitted to the Department of Mathematics on August 24, 1970 in', 'partial fulfillment of the requirements for the degree of Doctor of', 'Philosophy', 'ABSTRACT', 'This paper describes a system for the computer understanding of', 'English. The system answers questions, executes commands, and accepts', 'information in normal English dialog. It uses semantic information and', 'context to understand discourse and to disambiguate sentences. It', 'combines a complete syntactic analysis of each sentence with a', '""heuristic understander"" which uses different kinds of information about', 'a sentence, other parts of the discourse, and general information about', 'the world in deciding what the sentence means.', 'It is based on the belief that a computer cannot deal reasonably', 'with language unless it can ""understand"" the subject it is discussing.', 'The program is given a detailed model of the knowledge needed by a', 'simple robot having only a hand and an eye. We can give it instructions', 'to manipulate toy objects, interrogate it about the scene, and give it', 'information it will use in deduction. In addition to knowing the', 'properties of toy objects, the program has a simple model of its own', 'mentality. It can remember and discuss its plans and actions as well', 'as carry them out. It enters into a dialog with a person, responding to', 'English sentences with actions and English replies, and asking for', 'clarification when its heuristic programs cannot understand a sentence', 'through use of context and physical knowledge.', 'In the programs, syntax, semantics and inference are integrated in', 'a', '""vertical"" system in which each part is constantly communicating with', 'the others. We have explored several techniques for integrating the', 'large bodies of complex knowledge needed to understand language. We use', 'Systomic Grammar, a type of syntactic analysis which is designed to deal', 'with semantics. Rather than concentrating on the exact form of rules', 'for the shapes of inguistic constituents, it is structured around', 'choices for conveying meaning. It abstracts the relevant features of', 'the linguistic structures which are important for interpreting their', 'meaning.', 'We represent many kinds of knowledge in the form of procedures', 'rather than tables of rules or lists of patterns. By developing special', 'procedural languages for grammar, semantics, and deductive logic, we', 'gain the flexibility and power of programming languages while retaining', 'the regularity and understandability of simpler rule forms. Each piece', 'of knowledge can be a procedure, and can call on any other piece of', 'knowledge in the system.', 'Thesis Supervisor: Seymour A. ?apert', 'Title: Professor of Applied Mathematics']"
3,"['ii', 'AN EXPERIMENTAL INVESTIGATION OF', 'OIL SPREADING OVER WATER', 'by', 'Walter Suchon', 'Submitted to the Department of Mechanical Engineering on', '24 April, 1970, in partial fulfillment of the requirements for the', 'degree of Master of Science.', 'ABSTRACT', 'One-dimensional experiments were performed to determine the', 'spreading rates of oil over water. The viscosity of the water was', 'modified to enable both gravity-inertia and gravity-viscous spreading', ""to be observed in a 7' tank. The resulting data was in excellent"", ""agreement with Fay's order of magnitude theory, and the numerical"", 'spreading coefficients were determined.', 'Thesis Supervisor:', 'David P. Hoult', 'Title:', 'Associate Professor of Mechanical', 'Engineering']"
4,"['DIGITAL SIMULATION OF A TRANSPORTATION INTERFACE', '2.', 'by', 'CHRYSSOSTOMOS CHRYSSOSTOMIDIS', 'Submitted to the Department of Naval Architecture and Marine', 'Engineering on January 8, 1970, in partial fulfillment of the', 'requirements for the degree of Doctor of Philosophy.', 'ABSTRACT', 'In this study, two basic tasks have been considered.', 'The first of these was the development of the mathemati-', 'cal model simulating a cargo transportation interface in which', 'the cargo is to be transported from a ship moored at some dis-', 'tance from the shore to point A on a beach where no port facil-', 'ities are available. The transferring of cargo from the ship', 'to the shore is accomplished by means of transfer vehicles,', 'such as amphibious craft. The cargo transfer from the ship to', 'the transfer vehicles is accomplished by ship-based unloading', 'gear, such as ship-based cranes. The cargo transfer from the', 'transfer vehicles at the shore is accomplished by beach-based', 'unloading gear, such as fork lifts.', 'The second of these was the selection of the solution', 'method that would permit the analysis of such a mathematical', 'model. Importance was attached to the condition that the sol-', 'ution method should enable the user to gain an insight into', 'the unloading procedure and thence to correctly derive the', 'optimum use strategies in the ship-to-shore transfer analysis.', 'The method chosen was that of computer digital simulation be-', 'cause it not only provides the user with the necessary in-', 'sight, but also allows the user to solve the problem at hand', 'without the need for the introduction of drastic simplifica-', 'tions into the mathematical model, as would certainly be re-', 'quired by any of the known optimization techniques. As a', 'further means of enhancing the usefulness of our methodology,', 'the concept of antithetic variance was introduced into our', 'solution procedure. (Antithetic variance is the means by', 'which the user may exercise the underlying [stochastic] math-', 'ematical model the minimum number of times in order to esti-', 'mate the necessary results with a prespecified degree of con-', 'fidence.)', 'Because digital simulation is employed as the solution', 'method in almost all congestion problems, it follows that', 'antithetic variance may also be used profitably in models', 'other than the one in this study. Guidelines for the user', 'have therefore been included, wherein the expected usefulness', 'of the concept of antithetic variance (as developed here) in', 'its application to congestion problems in general is indicated.', 'Thesis Supervisor: Ernst G. Frankel', 'Title: Professor of Naval Architecture and Marine Engineering']"
5,"['ii', 'Immersions of Symmetric Spaces', 'by', 'Edmund Francis Kelly', 'Submitted to the Department of Mathematics on', 'June 1, 1970 in partial fulfillment of the requirements', 'for the degree of Doctor of Philosophy.', 'A formula for the second fundamental form of equi- -', 'variant immersions of compact symmetric spaces G/K in', 'Euclidean spaces is derived in terms of the Lie algebra', 'and the classical properties of the immersions are', 'treated using this formula.', 'It is shown that if G/K is locally symmetric and', 'has a O-tight equivariant immersion in Euclidean space', 'then it is in fact a tight imbedding and G/K is a sym-', 'metric R-space.', 'Finally an inequality between the eigenvalues of', 'the Laplacian and the Betti numbers of G/K is derived.', 'Thesis supervisor: Sigurdur Helgason', 'Title: Professor of Mathematics']"
6,"['INERTIAL GYRO LIFE-CYCLE COSTS- -', 'ANALYSIS AND MANAGEMENT', 'by', 'Peter J. Palmer', 'Submitted to the Department of Aeronautics and Astronautics in June 1970 in partial', 'fulfillment of the requirements for the degree of Master of Science.', 'ABSTRACT', 'The engineering and economic aspects of inertial gyro production, test, and', 'repair are investigated using the concept of life-cycle cost. The single-degree-', 'of-freedom inertial gyro is taken as the example, but the study can be easily applied', 'to other types of gyros and other engineering devices.', 'The nonlinear mathematical model is derived in a digital computer program', 'format. A unique set of basic cost data was obtained, mainly from industry, and', 'used in determining the characteristics of the model. Those parameters of the', 'model which indicate the greatest life-cycle cost sensitivities are investigated.', 'Areas where the return in terms of lower life-cycle costs may be greater than the', 'investment are identified.', 'Thesis Supervisor :', 'Walter Wrigley: Sc. D., Professor of Instrumentation and Astronautics', 'iii']"
7,"['2.', 'IONIZATION IN SEEDED DETONATION WAVES', 'by', 'Satyaki Basu', 'Submitted to the Department of Mechanical', 'Engineering on September 30, 1959, in par-', 'tial fulfillment of the requirements for', 'the degree of Doctor of Science', 'ABSTRACT', 'It has been reported that equilibrium ionization is', 'achieved in about 20 microseconds behind oxy-hydrogen and', 'oxy-acetylene detonation waves (1), and that the electrical', 'conductivity of the gas behind the detonations is of the', 'order of 10-3 mhos/cm. To obtain magnetohydrodynamio', 'interaction with reasonable magnetic fields, conductivities', 'of the order of 10 mhos/cr are required of combustion gases.', 'This thesis reports on an investigation of oxy-acetylene', 'detonations at 1/10 atmosphere initial pressure, which were', 'seeded with Potassium Acetylide (C,HK) to obtain the high', 'conductivity mentioned above.', 'Finely ground Potassium Acetylide was injected into', 'the initial mixture and the concentration of the resulting', 'aerosol was determined by a sedimentation technique. The', 'electrical conductivity was determined by a magnetohydro- -', 'dynamic interaction method developed by Lin et al (4)', 'The measured conductivities were plotted as a function of the', 'mole per cent of Potassium added and compared with the re- -', 'sults of thermodynamic equilibrium calculations. Predicted', 'and measured conductivities have approximately the same', 'dependence on the concentration of Potassium, which was', 'varied from 0.1 per cent to 10 per cent. Absolute values', 'agreed within a factor of two, the agreement improving', 'with increasing mole fraction of Potassium; an extrapolated', 'value of 10-15 sq cm being used for the electron-gas', 'collision cross section in the calculation of the conduc -', 'tivity. There is some uncertainty in this value, and a', 'value twice this gave good agreement between theory and', 'experiment. The maximum measured conductivity was 2.7 mho/cm', 'and occurred at about 3 mole per cent Potassium in the', 'product gases.', 'Thesis Supervisor: J. A. Fay', 'Title: Associate Professor of Mechanical Engineering'] ['3.', 'Massachusetts Institute of Technology', 'Cambridge 39, Massachusetts', 'September 30, 1959', 'Professor Philip Franklin', 'Secretary of the Faculty', 'Massachusetts Institute of Technology', 'Cambridge 39, Massachusetts', 'Dear Sir:', 'In accordance with the regulations of the faculty, I hereby submit', 'a thesis entitled ""Ionization in Seeded Detonation Waves,"" in partial', 'fulfillment of the requirements for the degree of Doctor of Science in', 'Mechanical Engineering.', 'Respectfully submitted,', 'Satyaki Basu']"
8,"['a', 'ABSTRACT', 'ETHYL ALCOHOL AS FUEL FOR', 'INTERNAL COMBUSTION ENGINES', 'By', 'ENRIQUE L. KILAYKO', 'Submitted to the Department of Mechanical', 'Engineering on August 22, 1960 in partial fulfill-', 'ment of the réquirements for the degree of Master', 'of Science.', 'Performance of a high compression four cylinder', 'automotive engine using Ethy1 Alcohol as fuel with', 'different amounts of preheating of the inlet mixture', 'is evaluated. Some discussion of the results and re-', 'commendations for further research are included.', 'THESIS SUPERVISOR: AUGUSTUS R. ROGOWSKI', 'ASSOCIATE PROFESSOR OF MECHANICAL ENGINEERING']"
9,"['36-2', 'ABSTRACT', '""Dynamics of the Tankship Industry""', 'by Alfred I. Raff', 'Submitted to the Department of Naval Architecture and Marine', 'Engineering on May 21, 1960, in partial fulfillment of the', 'requirements for the degree of Master of Science in Shipping', 'and Shipbuilding Management.', 'The world oil tankship industry has a decided history of severe', 'cyclical behavior. The object of this thesis is to investigate the', 'nature and causes of such quantitative behavior. It is realized that', 'such behavior stems from the basic organizational relationships and', 'management decisions in the various parts of the industry. It is', 'further realized that such behavior is fundamentally dynamic in charac-', 'ter, and therefore the method of investigation used is industrial', 'dynamics. In this method, a mathematical model is built up from', 'descriptive knowledge of the causal relationships and functions exist-', 'ing in the situation under study.', 'A model was formulated which included seven sectors, covering most', 'of the considered significant interactions and determinants of behavior.', 'The role of expectations in the decision-making process was incorporated.', 'The model simplified from the real world in many instances, and is based', 'on certain assumptions stated. In spite of the simplifications, assump-', 'tions, and omissions, the behavior of the model, as shown in computer', 'results, is in general quite reasonable compared to what would be', 'expected in the real world. It has thus been shown that industrial', 'dynamics is not only a valid tool for this investigation, but can yield', 'highly rewarding results.', 'It is concluded that the new tanker ordering decisions are extremely', 'important in stimulating the cyclical behavior. These decision rules', 'should be revised further to improve the reasonableness of system be-', 'havior. Time did not permit this author to proceed in this direction', 'beyond an outline of the very next steps involved.', 'The model presented herein can serve as a foundation structure', 'upon which to develop more fully this area of investigation, and as a', 'guide in such development. It is hoped that further work is carried out', 'towards gaining a sounder understanding of the tankership market cycles.', 'Thesis Supervisor:', 'Jay W. Forrester', 'Title:', 'Professor of Industrial Management']"
10,"['ABSTRACT', 'A variable speed device may be constructed', 'of two reels connected by a tape . The input', 'motion of the drive reel is transmitted to the', 'driven reel through the tape. As the reels', 'turn, the tape winds from one reel to the', 'other and the resulting relative motions con-', 'tinually change. For a constant angular ve-', 'locity input, it is possible to change the', 'output by a variation of the tape thickness as', 'a function of its length. The relative kine-', 'matics of the two reels are of major import-', 'ance, and the outputs were investigated for', 'the cases of (1) constant tape thickness, (2)', 'tape thickness varied to produce a constant', 'acceleration, and (3) tape thickness varied to', 'produce a log function. The input in all', 'cases was a constant angular velocity. Ana-', 'lytical solutions of all the important param-', 'eters were obtained and then verified experi-', 'mentally Dynamics were not considered. The', 'outputs obtained have in general continually', 'increasing isplacements, velocities, and', 'accelerations. They are both predictable and', 'controllable to a high degree of accuracy.', 'By', 'the use of the derived equations and graphi-', 'cally presented results, it is possible to com-', 'pletely design any one of the units investi-', 'gated.']"
