etd_file_id,advisor,author,degree,program,title,university,year
1,neil e. todreas,"tso, chih-ping",m.s.,nuclear engineering,some aspects of radiation induced nucleation in water,massachusetts institute of technology,1970
2,seymour a. papert,"winograd, terry",ph.d.,mathematics,procedures as a representation for data in a computer program for understanding natural language,massachusetts institute of technology,1970
3,david p. hoult,"suchon, walter",m.s.,mechanical engineering,an experimental investigation of oil spreading over water,massachusetts institute of technology,1970
4,ernst g. frankel,"chryssostomidis, chryssostomos",ph.d.,naval architecture and marine engineering,digital simulation of a transportation interface,massachusetts institute of technology,1970
5,sigurdur helgason,"kelly, edmund francis aloysius",ph.d.,mathematics,immersions of symmetric spaces,massachusetts institute of technology,1970
6,walter wrigley,"palmer, peter joseph",m.s.,aeronautics and astronautics,inertial gyro life-cycle costs - analysis and management,massachusetts institute of technology,1970
7,james a. fay,"basu, satyaki",sc.d.,mechanical engineering,ionization in seeded detonation waves,massachusetts institute of technology,1960
8,augustus r. rogowski,"kilayko, enrique",m.s.,mechanical engineering,ethyl alcohol as fuel for internal combustion engines,massachusetts institute of technology,1960
9,jay w. forrester,"raff, alfred israel",m.s.,naval architecture and marine engineering,dynamics of the tankship industry,massachusetts institute of technology,1960
10,douglas p. adams,"simson, anton keats",b.s.,mechanical engineering,analysis of tape drives,massachusetts institute of technology,1960
11,imre halasz,"holschneider, johannes philipp",m.arch,architecture,"a headquarters for the world health organization in geneva, switzerland",massachusetts institute of technology,1960
12,bertram kostant,"sweedler, moss eisenberg",ph.d.,mathematics,cocommutative hopf algebras with antipode,massachusetts institute of technology,1965
13,stanley backer,"el-shiekh, aly hassan mahmoud",sc.d.,mechanical engineering,on the mechanics of twist insertion,massachusetts institute of technology,1965
14,nishan bichajian,"opitz, calvin fred",b.arch.,architecture,a museum of history for boston,massachusetts institute of technology,1965
15,eduardo f. catalano,"pedju, ary mochtar",m.arch.,architecture,buildings as systems,massachusetts institute of technology,1965
16,eduardo f. catalano,"bonar, james robert",m.arch.,architecture,a building system based on growth,massachusetts institute of technology,1965
17,robert c. reid and charles m. mohr,"gruber, gerald",sc.d.,chemical engineering,automatic generation of thermo-dynamic networks,massachusetts institute of technology,1965
18,j. p. den hartog,"cannon, robert hamilton",sc.d.,mechanical engineering,performance of hydrofoil systems,massachusetts institute of technology,1950
19,"c. s. draper, r. c. seamans, jr","clementson, gerhardt christopher",sc.d.,aeronautical engineering dept.,an investigation of the power spectral density of atmospheric turbulence,massachusetts institute of technology,1950
20,frederick j. adams,"nez, george",m.c.p.,architecture,"survey and city plan for keene, n.h",massachusetts institute of technology,1950
21,frederick j. adams,"washburn, charles winfred",m.c.p.,architecture,"an economic background study of new bedford, massachusetts",massachusetts institute of technology,1950
22,,"powell, douglas s",m.c.p.,architecture,"a planning program for the towns of the bridgeport, connecticut, region",massachusetts institute of technology,1950
23,frederick j. adams,"reuter, frederick h",m.c.p.,architecture,a proposal for the structural reorganization of the planning function in new york city,massachusetts institute of technology,1950
24,edward s. taylor,"stenning, alan h. (alan hugh)",sc.d.,mechanical engineering,stall propagation in axial compressors,massachusetts institute of technology,1955
25,egon orowan,"paslay, paul r",sc.d.,mechanical engineering,calendering of an elastic-viscous material,massachusetts institute of technology,1955
26,"john t. norton, carl wagner","webb, watt wetmore, 1927-",sc.d.,metallurgy,oxidation studies in metal-carbon systems,massachusetts institute of technology,1955
27,burnham kelly,"reiner, thomas a. (thomas andrew), 1931-",m.c.p.,architecture,a critical survey of published physical planning principles,massachusetts institute of technology,1955
28,,"paukulis, vivaldis",m.arch.,architecture,"new ywca building, pittsburgh, pa",massachusetts institute of technology,1955
29,laurence b. anderson,"horowitz, richard m",m.arch.,architecture,a development study for north philadelphia airport,massachusetts institute of technology,1955
30,richard s. bear,"wyckoff, harold w",ph.d.,biology,x-ray diffraction analysis of the structure of deoxyribonucleic acid,massachusetts institute of technology,1955
31,l. b. anderson,"scott, norman keith",m.arch.,architecture,toward a new architecture for industry,massachusetts institute of technology,1955
32,richard c. lord,"wilmot, george barwick",ph.d.,chemistry,the raman spectra and structure of silica and the soda-silica glasses,massachusetts institute of technology,1955
33,uno ingard,"lyon, richard h",ph.d.,physics,the response of continuous systems to random noise fields,massachusetts institute of technology,1955
34,,"coughlin, robert edward",m.c.p.,city and regional planning,the community costs resulting from growth,massachusetts institute of technology,1955
35,d.n. wormley,"jeffcoat, robert lee",ph.d.,mechanical engineering,lateral dynamics and control of rail vehicles,massachusetts institute of technology,1975
36,woodie flowers,"bott, eric herschler",b.s.,mechanical engineering,hydraulic damper design for a knee prosthesis,massachusetts institute of technology,1975
37,david n. wormley,"azuma, alberto",m.s.,mechanical engineering,modeling and simulation of a steam power station,massachusetts institute of technology,1975
38,d.e. whitney,"maizza neto, octavio",ph.d.,mechanical engineering,modal analysis and control of flexible manipulator arms,massachusetts institute of technology,1975
39,k. hoffman,"shiman, leon gardner",ph.d.,mathematics,grammar for vision,massachusetts institute of technology,1975
40,i. halasz,"hayes, steven coburn",m.arch.,architecture,air rights development of urban transit corridors,massachusetts institute of technology,1975
