id,patentID,patentdate,figid,caption,object,aspect,figure_file,subfigure_file,object_title,groupID
1,USD0544845-20070619,2007-06-19,1,"FIG. 1 is a front elevation view of a portion of a connector plug, showing our new design;",Portions of a connector plug and receptacle pair,front elevation view,USD0544845-20070619-D00001.png,USD0544845-20070619-D00001_1.png,Portions of a connector plug and receptacle pair,1
2,USD0544845-20070619,2007-06-19,2,FIG. 2 is a perspective view thereof;,Portions of a connector plug and receptacle pair,perspective view,USD0544845-20070619-D00001.png,USD0544845-20070619-D00001_2.png,Portions of a connector plug and receptacle pair,1
3,USD0544845-20070619,2007-06-19,3,"FIG. 3 is a front elevation view of a portion of a connector receptacle, showing our new design;",Portions of a connector plug and receptacle pair,front elevation view,USD0544845-20070619-D00002.png,USD0544845-20070619-D00002_3.png,Portions of a connector plug and receptacle pair,1
4,USD0544845-20070619,2007-06-19,4,"FIG. 4 is a perspective thereof; and,",Portions of a connector plug and receptacle pair,perspective,USD0544845-20070619-D00002.png,USD0544845-20070619-D00002_4.png,Portions of a connector plug and receptacle pair,1
5,USD0549812-20070828,2007-08-28,1,FIG. 1 is a perspective front view of the 4-chamber air freshener showing our new design;,4-Chamber air freshener,perspective front view,USD0549812-20070828-D00001.png,USD0549812-20070828-D00001_1.png,4-Chamber air freshener,1
6,USD0549812-20070828,2007-08-28,2,FIG. 2 is a front view thereof;,4-Chamber air freshener,front view,USD0549812-20070828-D00001.png,USD0549812-20070828-D00001_2.png,4-Chamber air freshener,1
7,USD0549812-20070828,2007-08-28,3,FIG. 3 is a rear view thereof;,4-Chamber air freshener,rear view,USD0549812-20070828-D00002.png,USD0549812-20070828-D00002_3.png,4-Chamber air freshener,1
8,USD0549812-20070828,2007-08-28,4,FIG. 4 is a side view thereof;,4-Chamber air freshener,side view,USD0549812-20070828-D00002.png,USD0549812-20070828-D00002_4.png,4-Chamber air freshener,1
9,USD0549812-20070828,2007-08-28,5,FIG. 5 is a opposite side view thereof;,4-Chamber air freshener,opposite side view,USD0549812-20070828-D00003.png,USD0549812-20070828-D00003_5.png,4-Chamber air freshener,1
10,USD0549812-20070828,2007-08-28,6,"FIG. 6 is a top view thereof; and,",4-Chamber air freshener,top view,USD0549812-20070828-D00003.png,USD0549812-20070828-D00003_6.png,4-Chamber air freshener,1
11,USD0549812-20070828,2007-08-28,7,FIG. 7 is a bottom view thereof.,4-Chamber air freshener,bottom view,USD0549812-20070828-D00003.png,USD0549812-20070828-D00003_7.png,4-Chamber air freshener,1
